codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
195575,D,2025-05-02 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.000,00",3845,0,237,0,22,1,2,4180,3845
196077,C,2025-06-02 00:00:00.000,Lançamento Referente Recebimento Duplicata,"999,95",54666,100,237,2,0,1,1,5753,54666
198399,C,2025-10-17 00:00:00.000,Lançamento Referente Recebimento Duplicata,"999,86",55436,100,237,2,0,1,1,266,55436
193916,C,2025-01-20 00:00:00.000,Lançamento Referente Recebimento Duplicata,"999,08",53918,100,237,2,0,2,1,5676,53918
194035,C,2025-01-29 00:00:00.000,Lançamento Referente Recebimento Duplicata,"999,07",53918,100,237,2,0,3,1,5676,53918
197068,C,2025-07-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"997,14",54834,100,237,2,0,2,1,2838,54834
197529,C,2025-08-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"997,13",54834,100,237,2,0,3,1,2838,54834
196580,C,2025-06-30 00:00:00.000,Lançamento Referente Recebimento Duplicata,"995,94",54824,100,237,2,0,1,1,542,54824
197445,D,2025-08-20 00:00:00.000,Lançamento Referente Pagamento Duplicata,"995,90",1666,1,237,0,22,2,2,5805,1666
197193,D,2025-08-06 00:00:00.000,Lançamento Referente Pagamento Duplicata,"995,90",1666,1,237,0,22,1,2,5805,1666
193652,C,2025-01-09 00:00:00.000,Lançamento Referente Recebimento Duplicata,"995,82",53721,100,237,2,0,3,1,5537,53721
196761,D,2025-07-10 00:00:00.000,Lançamento Referente Pagamento Duplicata,"995,51",134463,1,237,0,22,3,2,2622,134463
195051,C,2025-04-01 00:00:00.000,Lançamento Referente Recebimento Duplicata,"995,40",54373,100,237,2,0,2,1,5502,54373
195333,C,2025-04-15 00:00:00.000,Lançamento Referente Recebimento Duplicata,"995,40",54373,100,237,2,0,3,1,5502,54373
196529,D,2025-06-26 00:00:00.000,Lançamento Referente Pagamento Duplicata,"995,21",134463,1,237,0,22,2,2,2622,134463
193899,D,2025-01-20 00:00:00.000,Lançamento Referente Pagamento Duplicata,"995,20",20252,S,237,0,29,1,2,5559,20252
199191,C,2025-12-04 00:00:00.000,Lançamento Referente Recebimento Duplicata,"995,00",55533,100,237,2,0,3,1,2638,55533
198977,C,2025-11-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"995,00",55533,100,237,2,0,2,1,2638,55533
194257,C,2025-02-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"994,84",53586,100,237,2,0,1,1,2408,53586
197718,C,2025-09-08 00:00:00.000,Lançamento Referente Recebimento Duplicata,"994,62",54917,100,237,2,0,3,1,4620,54917
194154,C,2025-02-07 00:00:00.000,Lançamento Referente Recebimento Duplicata,"993,71",54036,100,237,2,0,1,1,561,54036
194833,C,2025-03-19 00:00:00.000,Lançamento Referente Recebimento Duplicata,"993,66",54266,100,237,2,0,1,1,2133,54266
197542,D,2025-08-26 00:00:00.000,Lançamento Referente Pagamento Duplicata,"991,41",13728,1,237,0,22,3,2,5467,13728
197282,D,2025-08-11 00:00:00.000,Lançamento Referente Pagamento Duplicata,"991,41",13728,1,237,0,22,2,2,5467,13728
